# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 11cb0957f350a2d0
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,l2_subp0_write_sector_queries,fb_subp0_read_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,l2_subp1_write_sector_queries,fb_subp1_read_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,l2_subp0_read_sector_queries,fb_subp0_write_sectors,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,l2_subp1_read_sector_queries,fb_subp1_write_sectors,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,tex0_cache_sector_queries,tex0_cache_sector_misses
11cb0c5da6e1a8a0,_Z9matrixMulPfS_S_ii,5860,6188.68,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136320,1704,51200,51200,909747,1369600,136960,214,0,51200,51200,911056,71904,0,0,911631,823332,51200,0,0,36065,914108,842568,51200,3464785,237298,3269976,0,3408,1704,54528,0,121814005,3084248,0,0
11cb0c5da804ba80,_Z9matrixMulPfS_S_ii,5864.99,6336.84,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136320,1704,51200,51200,907495,1369600,136960,214,0,51200,51200,911956,71904,0,0,912279,815724,51200,0,0,34893,911848,812892,51200,3446060,237569,3269976,0,3408,1704,54528,0,122156467,3085714,0,0
11cb0c5da92078e0,_Z9matrixMulPfS_S_ii,5861.5,6291.6,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136320,1704,51200,51200,909903,1369600,136960,214,0,51200,51200,908736,71904,0,0,909187,818436,51200,0,0,35962,908260,824352,51200,3465443,237668,3285328,0,3424,1712,54784,0,122181389,3075743,0,0
11cb0c5daa4bcf40,_Z9matrixMulPfS_S_ii,5862.08,6310.84,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136320,1704,51200,51200,910147,1363200,136320,213,0,51200,51200,910300,71904,0,0,909099,821988,51200,0,0,36560,914320,834756,51200,3447967,237428,3269976,0,3408,1704,54528,0,122340763,3073611,0,0
11cb0c5dab723980,_Z9matrixMulPfS_S_ii,5861.18,6294.92,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,910315,1369600,136960,214,0,51200,51200,914684,71568,0,0,910463,815544,51200,0,0,36777,910812,833160,51200,3451034,237225,3285328,0,3424,1704,54528,0,122232178,3073116,0,0
11cb0c5dacadd960,_Z9matrixMulPfS_S_ii,5860.22,6197.12,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,911543,1363200,136320,213,0,51200,51200,911680,71904,0,0,911315,825660,51200,0,0,36110,911640,813120,51200,3464636,237895,3269976,0,3408,1704,54528,0,121830860,3083420,0,0
11cb0c5dadb1a360,_Z9matrixMulPfS_S_ii,5859.1,6214.44,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,911967,1363200,136320,213,0,51200,51200,910612,71904,0,0,914095,820356,51200,0,0,35784,916312,823668,51200,3447055,237247,3269976,0,3408,1712,54784,0,121824260,3083688,0,0
11cb0c5daee9e0e0,_Z9matrixMulPfS_S_ii,5860.61,6215.44,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136320,1704,51200,51200,914579,1363200,136320,213,0,51200,51200,913472,71568,0,0,910219,806280,51200,0,0,35851,912908,828180,51200,3460564,237862,3285328,0,3424,1712,54784,0,122056912,3071371,0,0
11cb0c5db027b6c0,_Z9matrixMulPfS_S_ii,5859.84,6263.6,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,914159,1369600,136960,214,0,51200,51200,912140,71904,0,0,911811,825888,51200,0,0,36143,909320,815436,51200,3448368,237850,3285328,0,3424,1712,54784,0,122134747,3082374,0,0
11cb0c5db1814e40,_Z9matrixMulPfS_S_ii,5857.5,6260.88,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,908255,1369600,136960,214,0,51200,51200,907916,71568,0,0,911951,827916,51200,0,0,36381,911280,826344,51200,3466050,237074,3269976,0,3408,1712,54784,0,121781397,3073145,0,0
11cb0c5db2b9a7c0,_Z9matrixMulPfS_S_ii,5860.29,6268.56,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,912787,1369600,136960,214,0,51200,51200,915756,71904,0,0,912779,819720,51200,0,0,35285,909836,837612,51200,3453454,236715,3269976,0,3408,1704,54528,0,121673168,3073194,0,0
11cb0c5db3e8be60,_Z9matrixMulPfS_S_ii,5858.88,6197.52,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136320,1704,51200,51200,910663,1363200,136320,213,0,51200,51200,908248,71568,0,0,908563,823248,51200,0,0,35599,909784,822540,51200,3462168,237588,3269976,0,3408,1712,54784,0,121798465,3071267,0,0
11cb0c5db4ecb520,_Z9matrixMulPfS_S_ii,5862.62,6370.92,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136320,1704,51200,51200,910843,1363200,136320,213,0,51200,51200,910180,71568,0,0,914647,837540,51200,0,0,37368,910212,821832,51200,3457467,235484,3269976,0,3408,1712,54784,0,121635814,3073311,0,0
11cb0c5db6230360,_Z9matrixMulPfS_S_ii,5859.55,6289.36,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136320,1704,51200,51200,914171,1363200,136320,213,0,51200,51200,911052,71904,0,0,911495,820332,51200,0,0,35453,917904,844404,51200,3453732,236058,3285328,0,3424,1704,54528,0,122250623,3084419,0,0
11cb0c5db7631600,_Z9matrixMulPfS_S_ii,5866.24,6187.4,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,909571,1363200,136320,213,0,51200,51200,912104,71904,0,0,912227,817152,51200,0,0,35674,916896,854868,51200,3466180,238018,3285328,0,3424,1712,54784,0,122035758,3077713,0,0
11cb0c5db87a6c60,_Z9matrixMulPfS_S_ii,5861.5,6219,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,911415,1369600,136960,214,0,51200,51200,910992,71904,0,0,916535,837300,51200,0,0,35941,911256,832248,51200,3462932,238377,3269976,0,3408,1704,54528,0,122053482,3085336,0,0
11cb0c5db9a90bc0,_Z9matrixMulPfS_S_ii,5858.98,6209.72,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136320,1704,51200,51200,912263,1369600,136960,214,0,51200,51200,913308,71568,0,0,910475,830952,51200,0,0,36089,914576,847632,51200,3448803,238214,3285328,0,3424,1704,54528,0,122337021,3071484,0,0
11cb0c5dbaccb700,memcpyDtoH,4695.23,6521.64,,,,,,,,,,0,0,3276800,0
