# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 11cb0957f373c2b0
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,l2_subp0_write_sector_queries,fb_subp0_read_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,l2_subp1_write_sector_queries,fb_subp1_read_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,l2_subp0_read_sector_queries,fb_subp0_write_sectors,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,l2_subp1_read_sector_queries,fb_subp1_write_sectors,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,tex0_cache_sector_queries,tex0_cache_sector_misses
11cb0c51ca26fda0,_Z9matrixMulPfS_S_ii,19.584,331.76,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,151,0,0,800,9235,496,8768,0,64,32,1024,0,214016,8598,0,0
11cb0c51cb4c87a0,_Z9matrixMulPfS_S_ii,19.328,441.84,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,144,0,0,800,9216,488,8768,0,64,32,1024,0,214305,8708,0,0
11cb0c51cc78fec0,_Z9matrixMulPfS_S_ii,19.2,369.48,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,131,0,0,800,9222,506,8768,0,64,32,1024,0,211793,8768,0,0
11cb0c51cda00d40,_Z9matrixMulPfS_S_ii,19.584,2396.56,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,148,0,0,800,9242,492,8768,0,64,32,1024,0,216342,8695,0,0
11cb0c51ced4fbc0,_Z9matrixMulPfS_S_ii,19.136,444.36,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,154,0,0,800,9224,487,8768,0,64,32,1024,0,215958,8683,0,0
11cb0c51cfd85ee0,_Z9matrixMulPfS_S_ii,19.808,449.68,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,149,0,0,800,9241,489,8768,0,64,32,1024,0,216705,8571,0,0
11cb0c51d0fcf160,_Z9matrixMulPfS_S_ii,19.584,355.4,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,146,0,0,800,9228,501,8768,0,64,32,1024,0,214426,8682,0,0
11cb0c51d1f44a80,_Z9matrixMulPfS_S_ii,19.456,454.56,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,149,0,0,800,9216,490,8768,0,64,32,1024,0,217255,8633,0,0
11cb0c51d2beed40,_Z9matrixMulPfS_S_ii,19.232,433.4,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,147,0,0,800,9244,507,8768,0,64,32,1024,0,214218,8750,0,0
11cb0c51d39f8460,_Z9matrixMulPfS_S_ii,19.36,930.24,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,149,0,0,800,9243,494,8768,0,64,32,1024,0,219481,8768,0,0
11cb0c51d4d1e6c0,_Z9matrixMulPfS_S_ii,19.52,637.96,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,143,0,0,800,9223,494,8768,0,64,32,1024,0,216085,8821,0,0
11cb0c51d5cf0e00,_Z9matrixMulPfS_S_ii,19.424,330.08,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,153,0,0,800,9243,493,8768,0,64,32,1024,0,213901,8635,0,0
11cb0c51d6b22360,_Z9matrixMulPfS_S_ii,19.232,303.72,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,141,0,0,800,9260,508,8768,0,64,32,1024,0,218052,8816,0,0
11cb0c51d7a1ff00,_Z9matrixMulPfS_S_ii,19.36,327.48,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,147,0,0,800,9224,490,8768,0,64,32,1024,0,216114,8751,0,0
11cb0c51d8bcf140,_Z9matrixMulPfS_S_ii,19.392,310.28,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,145,0,0,800,9208,497,8768,0,64,32,1024,0,218642,8747,0,0
11cb0c51dd4b7a20,memcpyDtoH,38.112,311.6,,,,,,,,,,0,0,51200,0
