# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 11cb0957eefdb540
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,l2_subp0_write_sector_queries,fb_subp0_read_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,l2_subp1_write_sector_queries,fb_subp1_read_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,l2_subp0_read_sector_queries,fb_subp0_write_sectors,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,l2_subp1_read_sector_queries,fb_subp1_write_sectors,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,tex0_cache_sector_queries,tex0_cache_sector_misses
11cb0dd70bd36900,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.136,9950,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3475,491520,1920,4,0,7680,7680,3272,25056,0,0,3455,144,7680,0,0,314,3492,96,7680,8964936,7634,8964776,0,256,32,1024,0,118665623,5132636,0,0
11cb0dd70d32bde0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.136,9991.96,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3527,491520,1920,4,0,7680,7680,3348,25056,0,0,3351,144,7680,0,0,319,3460,300,7680,8964960,7645,8964776,0,256,32,1024,0,118678331,5134801,0,0
11cb0dd70eb775a0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.072,9992.8,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3471,491520,1920,4,0,7680,7680,3388,25056,0,0,3347,120,7680,0,0,288,3384,84,7680,8964962,7636,8964776,0,256,32,1024,0,118707587,5134682,0,0
11cb0dd710697620,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.104,9913.96,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3359,491520,1920,4,0,7680,7680,3404,25056,0,0,3463,180,7680,0,0,312,3364,144,7680,8964942,7616,8964776,0,256,32,1024,0,118591548,5133013,0,0
11cb0dd712080a20,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.104,9997.36,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3511,491520,1920,4,0,7680,7680,3324,25056,0,0,3311,144,7680,0,0,296,3444,96,7680,8964935,7610,8964776,0,256,32,1024,0,118691193,5134049,0,0
11cb0dd713754500,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.072,9982.16,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3439,491520,1920,4,0,7680,7680,3380,25056,0,0,3491,192,7680,0,0,326,3444,156,7680,8964964,7632,8964776,0,256,32,1024,0,118610251,5131003,0,0
11cb0dd715658ac0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,154.944,9954.16,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3431,491520,1920,4,0,7680,7680,3412,25056,0,0,3523,108,7680,0,0,320,3272,96,7680,8964941,7652,8964776,0,256,32,1024,0,118659408,5132808,0,0
11cb0dd716c10540,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.136,9958.52,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3511,491520,1920,4,0,7680,7680,3420,25056,0,0,3435,120,7680,0,0,320,3376,156,7680,8964954,7615,8964776,0,256,32,1024,0,118686541,5130931,0,0
11cb0dd718211880,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.232,9963.32,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3507,491520,1920,4,0,7680,7680,3356,25056,0,0,3387,108,7680,0,0,290,3260,228,7680,8964959,7638,8964776,0,256,32,1024,0,118738454,5131756,0,0
11cb0dd719446f00,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.04,9905.64,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3491,491520,1920,4,0,7680,7680,3292,25056,0,0,3403,72,7680,0,0,312,3340,120,7680,8964950,7616,8964776,0,256,32,1024,0,118678261,5132313,0,0
